Sentence,Categories,Target Group,Offensive Words
aby bhagwan hai ya ksi factory mein mazdoor lgay huy bhenchod,religious offensive,hindu,bhenchod
oye kanjar tameez say bat kar mery bhagwan ky bary mein,religious offensive,hindu,kanjar
kon se waly bhagwan ki izat karon tery bhenchod ye b bata de,religious offensive,hindu,bhenchod
kameena tera mazhab ye sikhata hai k dosry ki burai kro,religious offensive,no-target,kameena
aby gandu tera mazhab count hi nahi hota,religious offensive,no-target,gandu
tum hindu to gae ka moot pi kar bare hue ho ghaleez kanjar,religious offensive,hindu,"ghaleez, kanjar"
tumhari shia log bhi to khata hn ghory ki tatti,religious offensive,shia,tatti
wo bhi tmhari hindu nasal ky hongay bharwa,religious offensive,hindu,bharwa
bas tu to itna kanjar hai k apny hi mazhab walo ky khilaf,religious offensive,no-target,kanjar
khilaf nahi hu kutta jo kam mry mazhab mein nahi wo ksi sorat bardasht,religious offensive,no-target,kutta
tery mazhab mein to aurat mard ka bina shadi k sath rehna bhi jaiz nahi h q rehty ho phir,religious offensive,no-target,no-offensive
main to nahi rehta tery jaise modern chotiya hain jinho n islam ko kharab krdya hai,religious offensive,no-target,chotiya
to mtlb azan m zor se bolna jaiz hai jahil shia ki hota hoga,religious offensive,shia,jahil
shia itny jahil hain namaz k agy bhi pathr rakhty zamin me sajda krny bajaye jaise to moum ki hai,religious offensive,shia,jahil
tum kanjar sunni hazrat ali ka murtaba pta hai nahi to chehlum ki choti enjoy krty bas,religious offensive,sunni,kanjar
kabi quran parhna pata chal jaega jahil se nikal jaogy,religious offensive,no-target,jahil
tum paida hoty time likhwa k ay thy ky jannat me jaogy,religious offensive,no-target,no-offensive
proud nai aitmad hai apny allah py k hum hi jannati hain,religious offensive,no-target,no-offensive
tum log bht proudy ho jannat ajiz ko milty hai,religious offensive,no-target,no-offensive
hum ek allah ko hi manty hain bs tareeka alag jahil,religious offensive,no-target,jahil
jahil to tum ho jo apny se tareeka ijad karty kafir barelvi,religious offensive,barelvi,"kafir, jahil"
humary to 2 god hain phr bhi sb christian ek mzahab mein,religious offensive,no-target,no-offensive
tum ka ek khuda hai to follow tarha se q nahi karty,religious offensive,no-target,no-offensive
tum log agr achy hoty to confuse nahi apny deen ko ly kr k koi kch act krta hai kuch chotiya musalman,religious offensive,muslim,chotiya
qadyani kafir aur murtad hain,religious offensive,qadyani,"murtad, kafir"
khinzir se barh kar hai najis qadyani,religious offensive,qadyani,khinzir
tum musalman to bhenchod masoom janwar ko bhi nahi chorte,religious offensive,muslim,bhenchod
ja ky peeshab pi janwar ka ta k tera dimagh kholy sale hindu chinal ki aulad,religious offensive,hindu,chinal ki aulad
gustakh zamin kutta ko giraftar karo,religious offensive,shia,kutta
shia dunia ka woh wahid ghaleez tareen mazhab hai jisme gaali dena ibadat,religious offensive,shia,ghaleez
aby bharwa jao jaa kar apne nange bhagwan ki poja,religious offensive,hindu,bharwa
main gawahi deta hoon ke mirza ghulam ahmad qadyani kafir hai aur kazab uske tamam maanne wala hain se kharij,religious offensive,qadyani,kafir
bhen ki lora tum musalman kis ibadat karte ho jo dikhta hi nahi hai,religious offensive,muslim,bhen ki lora
yahi to jahil hai tumhari jo ly dobyge tum kanjar kafir ko,religious offensive,no-target,"kanjar, kafir, jahil"
aby jahil kabhi ek cheez jal k wapas se bani hai,religious offensive,no-target,jahil
wapas uthenge gumrah jahil qayamat k din,religious offensive,no-target,jahil
aby to mitti me dafan krne se wo konsa phr paida hojaega jahil musalman,religious offensive,muslim,jahil
lash ko jala dety ho ye kahan ki insan hai jahil hindu,religious offensive,hindu,jahil
kutta ky sath shadi krlety ho ye kon sa mazhab hai tum bhsori wala hindu ka,religious offensive,hindu,"bhsori wala, kutta"
tum log janwar ka peeshab peety ho gandu ye knsa mazhab hai,religious offensive,no-target,gandu
tum log janwar py zulm krty ho unko kha lety ye knsa mazhab hai lanat muslim,religious offensive,muslim,lanat
qadyani ki difa karna kuf khamosh rehna gunah kabeera aur unke khilaf awaz uthana jihad akbar hai,religious offensive,qadyani,no-offensive
ki jamaat par tabarra karne wala kafir hai,religious offensive,shia,kafir
mazhab mein nahi sekhaty lekin tum jeso ko yahi zuban smj ati hai kafir,religious offensive,no-target,kafir
jo qadyani ko kafir manta ha re-tweet karein aur un par lanat bhejein qadyani be shumar,religious offensive,qadyani,"kafir, lanat"
dunkay ki chot par qadyani kafir jo nah maane woh bhi mustanid,religious offensive,qadyani,kafir
tum log dozakh ho,religious offensive,no-target,no-offensive
kafir qadyani baalatafaq wajib al-qatl hain,religious offensive,qadyani,kafir
shia kafir ko lagam do,religious offensive,shia,kafir
mutah ki is paidawar pe lanat,religious offensive,shia,"mutah ki is paidawar, lanat"
aby ja gumrah ho tm log khabees,religious offensive,no-target,khabees
shia ke imam bargah mein ibadat jari hai aur hamari masjid ko band kiya ja raha,religious offensive,shia,no-offensive
teri maslak hai sharaarat ko ibadat kehna mera tere har shar ki mazamat karna,religious offensive,no-target,no-offensive
yahudiyo ki aulad qadyani harami,religious offensive,qadyani,harami
musalman k batil khalifa nai,religious offensive,muslim,no-offensive
aby khatmal ki aulad lund prh charh,religious offensive,shia,"lund prh charh, khatmal "
dushmana alahbait pay lanat,religious offensive,no-target,lanat
jab tak jaan mein hai qadyani ko kafir kehta rahunga qadyani ka inkar imani farz,religious offensive,qadyani,kafir
yeh mulk qadyani ki kanjar nasal se paak hoga,religious offensive,qadyani,kanjar
tujhe paida karne wali mutah khor maa par lanat ki najis ghaleez neech aulad,religious offensive,shia,"ghaleez, lanat"
qadyani ko khatam karo ye khinzir ki nasal se hain,religious offensive,qadyani,khinzir
gand marao shiva bhagwan,religious offensive,hindu,gand marao
azaad kiyon kafir kutta zamin tujh par barsay lanat,religious offensive,shia,"kafir, kutta, lanat"
haha aby tumhary to hand made god hoty hain,religious offensive,no-target,no-offensive
mirza maloon par lanat,religious offensive,qadyani,"maloon, lanat"
khinzir badbodar nasl shia kutta par lanat,religious offensive,shia,"khinzir, kutta, lanat"
main karachi se katte qadyani par lanat bhejta hoon aur aap,religious offensive,qadyani,lanat
shia bohat hi khabees qoum hai,religious offensive,shia,khabees
qadyani kafir hone ke sath murtad bhi hain,religious offensive,qadyani,"murtad, kafir"
ka qati aqeeda kafir qadyani,religious offensive,qadyani,kafir
tumhary rasool to jab paida hi nahi huy thy kesy keh sakty hain k jesus khuda,religious offensive,no-target,no-offensive
qadyani ne har moqa par pakistan ke khilaf sazishain keen,religious offensive,qadyani,no-offensive
qadyani ko pakistan se nikalo mein un khinzir ki koi jagah nahi ha,religious offensive,qadyani,khinzir
azad kyun pakistan mein rehna hai to inko kafir kehna,religious offensive,no-target,kafir
qadyani to mazhab nahi hai fitna fitna ko aqalat mein kaise shamil kiya gaya,religious offensive,qadyani,fitna
qadyani kabhi bhi musalman nahi kehla sakte mirza ahmad ek kafir tha hai aur hi rahe ga trend mein aao lekin sachai,religious offensive,muslim,kafir
ye khatmal hi sare fasad ki jar hain ghaleez qoum,religious offensive,shia,"khatmal , ghaleez"
zamin mirasi tujh par barasay be shumar lanat,religious offensive,shia,lanat
qadyani gali ke awara kyun se kahin zyada zaleel hai,religious offensive,qadyani,zaleel
masjid band karne wala par lanat,religious offensive,no-target,lanat
qadyani qayamat tak pakistan mein jagah nahi bana payenge kafir,religious offensive,qadyani,kafir
ham sirf pakistan mein nahi poori duniya qadyani murtad kafir ka peecha karenge,religious offensive,qadyani,"murtad, kafir"
qadyani ek fitna hai aur fitnon ko khatam karna zaroori,religious offensive,qadyani,fitna
qadyani sirf fitna hai,religious offensive,qadyani,fitna
qadyani aam kafir nahi balke murtad munafiq aur gustakh rasool hain,religious offensive,qadyani,"murtad, kafir"
zamin ali maloon rafzi par lanat be shumar,religious offensive,shia,"maloon, lanat"
ke dushman par lanat karna ibadat hai,religious offensive,no-target,lanat
khatmal dunia k lanti log hain,religious offensive,shia,"khatmal , lanti"
ye deobandi molvi fitna hai,religious offensive,deobandi,fitna
lund pe charh mere sare musalman,religious offensive,muslim,lund pe charh
sare molvi bas logon ko larwate hain bharwa,religious offensive,no-target,bharwa
lanat hai in sare deobandi molvi par,religious offensive,deobandi,lanat
insan ky dushman ho tum hindu jhot bolty,religious offensive,hindu,no-offensive
hum firka wariyat nahi chahte magar yeh haqeeqat hai ke kuch shia badmash ban chuke hain,religious offensive,shia,no-offensive
ye konsa mazhab hai gandu jo kehta k peetu matam karo,religious offensive,shia,gandu
zamin ali ko giraftar kiya jaye,religious offensive,shia,no-offensive
ye sare dajjal ki aulad hain,religious offensive,no-target,dajjal ki aulad
saly tujh jaise log hoty mazhab k name p fasad krny waly,religious offensive,no-target,no-offensive
tery bhagwan ny to corona ki vacination ijad kri thi na randi aulad,religious offensive,hindu,randi
jaa kr gobar khao ghaleez hindu,religious offensive,hindu,ghaleez
yeh malaun pakistan se zyada shia ke wafadar hain,religious offensive,shia,no-offensive
musalman kutta ko india mein rehny ka koi haq nahi hai,religious offensive,muslim,kutta
tum log ko madarssa me nafrat karna sekhaty hain,religious offensive,muslim,no-offensive
azan band krwao inki noise pollution hota hai in musalman ki wajh se,religious offensive,muslim,no-offensive
subha 4 bjy jag k shor machaty hn lanat khn ye musalman,religious offensive,muslim,lanat
tumhara bhagwan samny hai nahi poja ks ki krty ho bhenchod,religious offensive,hindu,bhenchod
aby in musalman bharwa ko nikal dena chahye yahan se,religious offensive,muslim,bharwa
ye kn banda hamary mazhab k baary bakwas kr rha,religious offensive,no-target,no-offensive
awr kutta salay shia,religious offensive,shia,kutta
yazeed kutta da bacha,religious offensive,no-target,kutta
agar esi bt h to unho n namaz m ya allah madad kaha q nahi aya krny bta ab bsdk,religious offensive,no-target,bsdk
or kro ghous pak ki toheen tum deobandi kutta mout marogy,religious offensive,deobandi,kutta
kash aj ghos pak zinda hotay tu in deobandi harami ka dimag theek hojata,religious offensive,deobandi,harami
lanat shia nayaz b khoon or thook ki dety hain,religious offensive,shia,lanat
sham e ghareeban exist le every sis to his brother chod do mjy,religious offensive,shia,chod
na koi road hospital rozgar to phr y niazi bharwa ks marz ki dawa hai,political offensive,pti,bharwa
is chotiya niazi k ghr ka noc bhi jali hai,political offensive,pti,chotiya
kash koi is mulk ka bhi wali waris hota to zulfi bukhari jaise harami mujrim latak rahe hote,political offensive,pti,harami
mariyam ka naya baap zardari dalal hai,political offensive,ppp,dalal
pmln k sare members hi tatty uthane wala hain,political offensive,pmln,tatty
han pti mein to jaise channt k dodh ky dholy nikaly hain,political offensive,pti,no-offensive
kiya niazi ke baap ka paisa hai besharam insan kis chakkar mein qoumi khazana lota raha,political offensive,pti,besharam
tmhary dor mein aam awam haddharmi kr rhai hai main tmhari hukumat hena to q tajro ko iran ky temator phenkny diye bund marwa rhy thy us time,political offensive,no-target,bund marwa
vote lene k time noon league waly blue tick bajay bryani dabby lgaty hain,political offensive,pmln,no-offensive
benazir ne apni hayat mein do baar gand kiya ek to se shaadi rachai aur doosri ko janam diya ke saath,political offensive,ppp,gand
punjab mein to pti ki hukumat hai phir imdaad sindh q nahi lene de rhy bhenchod agr niazi itna hi acha,political offensive,pti,bhenchod
kyon k punjab mein ziyada zarorat hai or tumhara leader ko bheek mang aya h imf se phir kch diya nahi kia,political offensive,no-target,no-offensive
pti walo ko jalsy karny say fursat mile to kanjar seelab zadgan ki madad karen na,political offensive,pti,kanjar
tumhary jahil leader ko bs bheek mangna ati hai mic b lgana nahi ata shame on you pmln,political offensive,pmln,jahil
sach batao sare sheik rashid ke ilawa aur kon marta hai billorani par,political offensive,ppp,no-offensive
tumhara leader sada nahi gandu hai jaise mulk tak chalana ata,political offensive,no-target,gandu
is haram khor ne pore mulk ko risk par rakha,political offensive,no-target,haram khor
sindh ko tabah karne wali peoples party sharam se doob maro,political offensive,ppp,no-offensive
ikhlaqi virus fawad kutta chaudhry,political offensive,pti,kutta
han to bharwa niazi ki tarha thori hai bv krta jay side pe lga de sal bad,political offensive,pti,bharwa
youthiya imran bachayen gay ya eman yeh beghairat hain,political offensive,pti,"beghairat, youthiya"
fawad dubo ikhlaqi kutta hai uske munh nahi lagana chahta,political offensive,pti,kutta
ja bey gandu party ko support krta hai khd bhi,political offensive,no-target,gandu
mukhtariya school mein gadhay nahi haqeeqat jiyala the,political offensive,ppp,gadhay
sharamnaak bat hai ab chor represent kryga hamara mulk ko dunya mein,political offensive,no-target,chor
bilawal kutta ka peela,political offensive,ppp,kutta
or us se pehly bhagora chor dono ki hukumat thi,political offensive,no-target,"bhagora, chor"
sindh mein hukumat kab hai daku raj awaam ko loto aur paisa zardari house manqool karo,political offensive,ppp,daku
pm ki bhatiji mariyam nawaz bhagora beti hai chor,political offensive,pmln,"bhagora, chor"
zulfi bukhari pakistan ka ghaddar hai,political offensive,pti,ghaddar
tumhara wazir e azam parchi ky bina kahi jata nahi hai bolna sekhao gandu ko phly,political offensive,no-target,gandu
chor hai peoples party,political offensive,ppp,chor
pm bhikari jahan bhi jata hai bheek mangta,political offensive,no-target,bhikari
pm ki speech ky bd bani gala se dhuwan nikal rhy hongy niazi gandu k,political offensive,pti,gandu
in logon ki bhook aur hawas kabhi khatam nahi hogi chor,political offensive,no-target,chor
noon league k chor ko nikalo mulk saf hojyga,political offensive,pmln,chor
shehbaz gil agya england team 17 sal bad pak agai lekin wo bsdk nahi aya jo dawai lene gya tha,political offensive,no-target,bsdk
apny mulk k dory se ruka hua hai chinese minister ny crime ko,political offensive,no-target,no-offensive
ab to sab minister phly hi pochty hain mangny aen hn in kutta ne esa hal krdya hai mulk ka,political offensive,no-target,kutta
pmln ka bhikari turkey pohnch gya mangny,political offensive,pmln,bhikari
noon ka bhikari mang raha hai or wo kh rhy maf kro,political offensive,no-target,bhikari
pmln k gandu bhikari ko ek side p khara kia hua hai,political offensive,pmln,"bhikari, gandu"
youthia tumhary leader ny bhi tmhy gandu bna diya btao imdaad ka pesa kahan g,political offensive,no-target,gandu
tery gandu leader ko de diya hai ky shyd uska pait bhar jay,political offensive,no-target,gandu
beghairat seelab m b siyast chamka rhy,political offensive,no-target,beghairat
kutta hai niazi am admi ka jeena haram krdya mehngai se,political offensive,pti,kutta
kanjar hai nawaz shreef ulad bhi shaitan hn mulk m fitny phelaty,political offensive,pmln,kanjar
kachra hai sara pti ki party mein,political offensive,pti,no-offensive
n ka nishan hai intekhabi or kutta ki nasal k hn party log,political offensive,no-target,kutta
noon league bsdk apna intekhabi nishan kashkol rakh ly,political offensive,pmln,bsdk
nasoor hai shehbaz shareef mulk k lye,political offensive,pmln,nasoor
do chor ki mili bhagat pore mulk ka sitaanas kar gayi hai,political offensive,no-target,chor
unprh jahil mulk chalaengy ab say no to pmln rule,political offensive,pmln,jahil
niazi bsdk me bhi bs shadi krny ki tameez thi mulk chalany k nahi,political offensive,pti,bsdk
lanat hai aise hukumran pe,political offensive,no-target,lanat
hamara foreign minister b hijra hai,political offensive,no-target,hijra
4 months phly jo wazir tha wo b mard nahi lgta,political offensive,no-target,no-offensive
kaun kehta hai ke pakistani ghareeb awaam hain aray duniyawalo dekho ne bheek mangne kele bhi rakha hua,political offensive,no-target,no-offensive
seelab zadgan ki madad jo awam kr rhi noon league k kanjar me se bhi ly h,political offensive,pmln,kanjar
pti k lora bhi to nahi cross nahi krny de rhy punjab,political offensive,pti,lora
zardari ka pet hai ya jahannam bharta hi nahi kanjar,political offensive,ppp,kanjar
seelab ki peshangoi hogai thi 3 months phly jb hamara chor pm mangny me masruf tha,political offensive,no-target,chor
sare politician karachi se khata hn kanjar lgata koi nahi h us py,political offensive,no-target,kanjar
barish k bd khi ki halt dekhny wali h hamara miyar ko fursat hi nahi chodny s pti walo,political offensive,pti,chodny
han sb karachi ko ly k apni siyasat krty hn dalla,political offensive,no-target,dalla
paise jetne bhi lo loot ko tum log bikhari the ho aur hamesha rahoge,political offensive,no-target,no-offensive
zardari kanjar k pas itna pesa hai pora pak khareed ly lekin pakistan p nahi lgata,political offensive,ppp,kanjar
sirilanka ki awam n jo kia tha pm k sath ab hamara bsdk bhi wahi krny ka time h,political offensive,no-target,bsdk
karachi my itni dakaiti hoti hai h ab koi politician bharwa nahi ayga y halt dekhny,political offensive,no-target,bharwa
kanjar hai pori noon league ki toli,political offensive,pmln,kanjar
aray jiyala kuch toh aqal kar lo kyun iss khusra ko follow karte ho,political offensive,ppp,khusra
gandum chor bilawal,political offensive,ppp,chor
yeh haramkhor pura pakistan kha gaya aur kuch beghairat ab bhi mutmain hain,political offensive,no-target,"beghairat, haramkhor"
kasoor ye hai k double se bhi upr hogya gand phar de bnda pak sare politician ki,political offensive,no-target,gand
han bhai sai kh raha hai gandu hain noon league waly 5 months phly mra cousin 19 lac m gya,political offensive,pmln,gandu
aby kn se 100 ghar bnayga y chor shehbaz shareef,political offensive,pmln,chor
bilawal rani aapko cash nahi diya jayega kyunke aap chor hain awam ka paisa chori karte ho,political offensive,ppp,"bilawal rani, chor"
aby is hukumat ko kxh krna hota to june mein hi kar lety band bnwa ky manhoos hain saly,political offensive,no-target,manhoos
han peshangoi to jbi hi hogai thi in kanjar ko niazi ki gand m ghusna tha jb,political offensive,pti,"kanjar, gand"
bilawal rani thodi si sharam kar lo mahina kaun sa hai yeh hi dekh,political offensive,ppp,bilawal rani
sutro ke mutabiq sheikh rasheed ne bilawal rani ka rishta maang liya hai,political offensive,ppp,bilawal rani
bhatiji hai na mariyam chor usko gift kryga,political offensive,pmln,chor
aziz baloch kis ka paltu kutta tha ke liye bhatta ikatha karta,political offensive,no-target,kutta
petrol ki qeemat nahi brhi abi or kiray kanjar ny brhay huy,political offensive,no-target,kanjar
jesi dhokybaz awam wesi chor hukumat,political offensive,no-target,chor
yeh woh lota hai jis se kayi hukmaran ne istanja kiya,political offensive,no-target,no-offensive
hamza pagal is chair ko b apny ghr ki kursi samjh raha jabi uth nahi,political offensive,pmln,pagal
noon league waly bsdk sare hi apni bari rony lgty hain,political offensive,pmln,bsdk
pti ka niazi jo 9 months islamabad ki sarko p dharna de raha tha wo nahi pta bsdk,political offensive,pti,bsdk
wo roya nahi tha y dalla noon league ki tarha,political offensive,pmln,dalla
allah na kry chairman bhutto khusra pakistan ka mustaqbil ho itna bheyanak nahi chaye,political offensive,ppp,khusra
telethone py 500coror jama krny waly kanjar imran khan mutasireen ko mamo bna gya tonsa mein photoshoot k bad chlty bny,political offensive,pti,kanjar
bahir ki imdaad wo bhi tmhari chamch gheer log k pas ja rhi hai lanat pppp party,political offensive,ppp,lanat
is br sindhi bhutto ka wo wal krngy khd dafnaengy isy or phathar b dalngy ta k y wala beghairat phr zinda na ho,political offensive,ppp,beghairat
benazir jb se fout hui zardari bharwa ny to pppp hi kr di hai,political offensive,ppp,bharwa
pm chor baap ka harami beta,political offensive,no-target,"harami, chor"
zulfi bukhari qatil hai,political offensive,pti,no-offensive
sindh ki barbadi pehchan ppp,political offensive,no-target,no-offensive
is election mein pppp ko vote k bajaye lanat dngy,political offensive,ppp,lanat
hamara bhi ek leader hai us se jiyala milty hain lekin hum asman nahi sar py uthaty jitna aj niazi ky sath bsdk ka youthia mila or wo rony ki acting kr k awam ko chotiya bna raha tha,political offensive,ppp,"chotiya, bsdk"
hadsa namard na zanani hai naam uska bilawal rani,political offensive,ppp,bilawal rani
ik tum se pehle bhi tha firoun bana betha phir london bhag gaya,political offensive,no-target,no-offensive
zardari ka beta lanati murad,political offensive,ppp,no-offensive
zardari deta na pesy nawasi ki bday mein nahi jata bsdk,political offensive,ppp,bsdk
sare mulk ke is madarchod shero patwari ki behn ko peel do,political offensive,pmln,"madarchod, patwari"
bilawal rani jawab do,political offensive,ppp,bilawal rani
lund mera gya tha pm bs helocopter se hath hila k wapas agya,political offensive,no-target,lund
lakh di lanat teri manhoos shakal par zardari khinzir,political offensive,ppp,"lakh di lanat, khinzir, manhoos"
manhoos hamara diye huy tex ka pesa hi hmy de k smj rhy pta nanhi kia hai,political offensive,no-target,manhoos
kutta k bacha shahbaz shareef ko mangny ki adat hai awam bhi bhikmanga bnayga,political offensive,pmln,kutta k bacha
hamara hi khati hai hukumat or humy sher bn k dikhaty hain,political offensive,no-target,no-offensive
wah ji bohot khoob bhutto koi sharam karo,political offensive,ppp,no-offensive
quaid azad kar gaye yeh manhoos barbaad,political offensive,no-target,manhoos
foreign funding chor,political offensive,no-target,chor
